model_pair,benchmark,condition,mean,ci_lo,ci_hi
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,0.145,0.145,0.145
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,0.145,0.145,0.145
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,0.175,0.175,0.175
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,0.115,0.115,0.115
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,0.115,0.115,0.115
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,0.115,0.115,0.115
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,0.02,0.02,0.02
Llama-3.2-1B→Llama-3.1-8B,hellaswag,A,0.66,0.66,0.66
Llama-3.2-1B→Llama-3.1-8B,hellaswag,B,0.66,0.66,0.66
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_060,0.632,0.632,0.632
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_070,0.656,0.656,0.656
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_080,0.644,0.644,0.644
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_090,0.656,0.656,0.656
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_030,0.682,0.682,0.682
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_050,0.64,0.64,0.64
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_070,0.608,0.608,0.608
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_100,0.534,0.534,0.534
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_150,0.446,0.446,0.446
Llama-3.2-1B→Llama-3.1-8B,mmlu,A,0.558,0.558,0.558
Llama-3.2-1B→Llama-3.1-8B,mmlu,B,0.558,0.558,0.558
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_060,0.56,0.56,0.56
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_070,0.57,0.57,0.57
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_080,0.586,0.586,0.586
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_090,0.574,0.574,0.574
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_030,0.63,0.63,0.63
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_050,0.626,0.626,0.626
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_070,0.59,0.59,0.59
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_100,0.52,0.52,0.52
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_150,0.434,0.434,0.434
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_060,0.25,0.25,0.25
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_070,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_080,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_030,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_050,0.245,0.245,0.245
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_070,0.245,0.245,0.245
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_100,0.245,0.245,0.245
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_150,0.25,0.25,0.25
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,A,0.77,0.77,0.77
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,B,0.77,0.77,0.77
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_060,0.782,0.782,0.782
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_070,0.8,0.8,0.8
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_080,0.8,0.8,0.8
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_090,0.794,0.794,0.794
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_030,0.818,0.818,0.818
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_050,0.804,0.804,0.804
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_070,0.778,0.778,0.778
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_100,0.728,0.728,0.728
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_150,0.574,0.574,0.574
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,0.658,0.658,0.658
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,B,0.658,0.658,0.658
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_060,0.7,0.7,0.7
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_070,0.682,0.682,0.682
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_080,0.678,0.678,0.678
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_090,0.688,0.688,0.688
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_030,0.712,0.712,0.712
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_050,0.692,0.692,0.692
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_070,0.68,0.68,0.68
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_100,0.632,0.632,0.632
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_150,0.502,0.502,0.502
