model_pair,benchmark,construct,condition,run,accuracy,mean_accept_rate,acc_A,delta_acc,rejection_rate,accuracy_gap,rejection_rate_c,accuracy_gap_c,interaction,gap_quartile
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_060,0,0.06,0.2207351704479873,0.145,-0.08499999999999999,0.7792648295520127,0.09999999999999999,0.14763350755380245,-0.14500000000000002,-0.021406858595301358,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_070,0,0.06,0.2178332098106531,0.145,-0.08499999999999999,0.7821667901893469,0.09999999999999999,0.1505354681911366,-0.14500000000000002,-0.021827642887714813,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_080,0,0.06,0.2159300543723414,0.145,-0.08499999999999999,0.7840699456276586,0.09999999999999999,0.15243862362944838,-0.14500000000000002,-0.022103600426270017,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_090,0,0.175,0.2121482638304128,0.145,0.03,0.7878517361695871,0.09999999999999999,0.1562204141713769,-0.14500000000000002,-0.02265196005484965,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_060,0,0.632,0.482,0.66,-0.028000000000000025,0.518,0.30800000000000005,-0.11363132199821024,0.06300000000000006,-0.007158773285887252,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_070,0,0.656,0.454,0.66,-0.0040000000000000036,0.546,0.30800000000000005,-0.08563132199821022,0.06300000000000006,-0.005394773285887248,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_080,0,0.644,0.428,0.66,-0.016000000000000014,0.5720000000000001,0.30800000000000005,-0.059631321998210196,0.06300000000000006,-0.003756773285887246,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_090,0,0.656,0.408,0.66,-0.0040000000000000036,0.5920000000000001,0.30800000000000005,-0.03963132199821018,0.06300000000000006,-0.0024967732858872434,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_060,0,0.56,0.606,0.558,0.0020000000000000018,0.394,0.22600000000000003,-0.23763132199821024,-0.01899999999999996,0.004514995117965985,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_070,0,0.57,0.55,0.558,0.0119999999999999,0.44999999999999996,0.22600000000000003,-0.1816313219982103,-0.01899999999999996,0.0034509951179659886,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_080,0,0.586,0.49,0.558,0.027999999999999914,0.51,0.22600000000000003,-0.12163132199821025,-0.01899999999999996,0.00231099511796599,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_090,0,0.574,0.458,0.558,0.015999999999999903,0.542,0.22600000000000003,-0.08963132199821022,-0.01899999999999996,0.0017029951179659908,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_060,0,0.25,0.12415586214539007,0.295,-0.044999999999999984,0.8758441378546099,0.19999999999999998,0.24421281585639965,-0.04500000000000001,-0.010989576713537987,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_070,0,0.295,0.12355039339539006,0.295,0.0,0.8764496066046099,0.19999999999999998,0.24481828460639965,-0.04500000000000001,-0.011016822807287987,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_080,0,0.295,0.12355039339539006,0.295,0.0,0.8764496066046099,0.19999999999999998,0.24481828460639965,-0.04500000000000001,-0.011016822807287987,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_090,0,0.295,0.12294492464539006,0.295,0.0,0.8770550753546099,0.19999999999999998,0.24542375335639965,-0.04500000000000001,-0.011044068901037988,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_060,0,0.782,0.374,0.77,0.01200000000000001,0.626,0.41400000000000003,-0.005631321998210259,0.16900000000000004,-0.000951693417697534,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_070,0,0.8,0.37,0.77,0.030000000000000027,0.63,0.41400000000000003,-0.0016313219982102556,0.16900000000000004,-0.0002756934176975333,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_080,0,0.8,0.364,0.77,0.030000000000000027,0.636,0.41400000000000003,0.00436867800178975,0.16900000000000004,0.0007383065823024678,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_090,0,0.794,0.34,0.77,0.02400000000000002,0.6599999999999999,0.41400000000000003,0.02836867800178966,0.16900000000000004,0.0047943065823024536,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_060,0,0.7,0.586,0.658,0.041999999999999926,0.41400000000000003,0.22200000000000003,-0.21763132199821023,-0.022999999999999965,0.005005520405958828,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_070,0,0.682,0.552,0.658,0.02400000000000002,0.44799999999999995,0.22200000000000003,-0.1836313219982103,-0.022999999999999965,0.0042235204059588305,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_080,0,0.678,0.526,0.658,0.020000000000000018,0.474,0.22200000000000003,-0.15763132199821028,-0.022999999999999965,0.003625520405958831,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_090,0,0.688,0.492,0.658,0.029999999999999916,0.508,0.22200000000000003,-0.12363132199821025,-0.022999999999999965,0.0028435204059588316,"Small gap
(similar models)"
