model_pair,benchmark,item_id,n_flips,score_var,unstable
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_0,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_1,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_10,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_100,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_101,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_102,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_103,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_104,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_105,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_106,1,0.16000000000000003,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_107,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_108,2,0.24000000000000005,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_109,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_11,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_110,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_111,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_112,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_113,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_114,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_115,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_116,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_117,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_118,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_119,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_12,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_120,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_121,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_122,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_123,1,0.16,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_124,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_125,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_126,0,0.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,gsm8k_proj_127,0,0.0,False
