model_pair,benchmark,condition,n_items,delta,b_cnt,c_cnt,p,p_bonf,sig
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,200,0.0,0,0,1.0,1.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,200,0.03,17,23,0.42919530044034926,1.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,200,-0.08499999999999999,17,0,1.52587890625e-05,0.00091552734375,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,200,-0.08499999999999999,17,0,1.52587890625e-05,0.00091552734375,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,200,-0.08499999999999999,17,0,1.52587890625e-05,0.00091552734375,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,200,-0.08499999999999999,17,0,1.52587890625e-05,0.00091552734375,True
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,200,-0.029999999999999985,17,11,0.3447042220069577,1.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,200,-0.029999999999999985,17,11,0.3447042220069577,1.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,200,-0.029999999999999985,17,11,0.3447042220069577,1.0,False
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,200,-0.12499999999999999,25,0,1.5866563039511885e-06,9.519937823707131e-05,True
Llama-3.2-1B→Llama-3.1-8B,hellaswag,B,500,0.0,0,0,1.0,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_090,500,-0.0040000000000000036,47,45,0.9169652366288644,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_080,500,-0.016000000000000014,48,40,0.45554509378932984,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_070,500,-0.0040000000000000036,47,45,0.9169652366288644,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_060,500,-0.028000000000000025,47,33,0.14610046596341816,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_030,500,0.02200000000000002,55,66,0.36330214088689783,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_050,500,-0.020000000000000018,72,62,0.4368746960764386,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_070,500,-0.052000000000000046,86,60,0.03854470526539253,1.0,False
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_100,500,-0.126,113,50,1.1965091258788457e-06,7.179054755273074e-05,True
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_150,500,-0.21400000000000002,151,44,3.178930231813584e-14,1.9073581390881506e-12,True
Llama-3.2-1B→Llama-3.1-8B,mmlu,B,500,0.0,0,0,1.0,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_090,500,0.015999999999999903,34,42,0.42200070503759224,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_080,500,0.027999999999999914,34,48,0.15111339345874397,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_070,500,0.0119999999999999,30,36,0.5382526579885007,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_060,500,0.0020000000000000018,32,33,1.0,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_030,500,0.07199999999999995,41,77,0.0012729417570430523,0.07637650542258313,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_050,500,0.06799999999999995,44,78,0.002811040591593118,0.1686624354955871,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_070,500,0.03199999999999992,58,74,0.19169460205188427,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_100,500,-0.038000000000000034,86,67,0.1456100953968629,1.0,False
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_150,500,-0.12400000000000005,123,61,6.892557810145475e-06,0.0004135534686087285,True
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,200,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,200,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_080,200,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_070,200,0.0,0,0,1.0,1.0,False
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_060,200,-0.044999999999999984,9,0,0.00390625,0.234375,False
