model_pair,benchmark,condition,mean,ci_lo,ci_hi
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,0.145,0.145,0.145
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,0.145,0.145,0.145
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,0.175,0.175,0.175
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,0.06,0.06,0.06
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,0.115,0.115,0.115
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,0.115,0.115,0.115
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,0.115,0.115,0.115
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,0.02,0.02,0.02
Llama-3.2-1B→Llama-3.1-8B,hellaswag,A,0.104,0.104,0.104
Llama-3.2-1B→Llama-3.1-8B,hellaswag,B,0.104,0.104,0.104
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_060,0.112,0.112,0.112
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_070,0.126,0.126,0.126
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_080,0.114,0.114,0.114
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_090,0.126,0.126,0.126
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_030,0.132,0.132,0.132
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_050,0.122,0.122,0.122
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_070,0.086,0.086,0.086
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_100,0.076,0.076,0.076
Llama-3.2-1B→Llama-3.1-8B,hellaswag,T_150,0.042,0.042,0.042
Llama-3.2-1B→Llama-3.1-8B,mmlu,A,0.558,0.558,0.558
Llama-3.2-1B→Llama-3.1-8B,mmlu,B,0.558,0.558,0.558
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_060,0.56,0.56,0.56
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_070,0.57,0.57,0.57
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_080,0.586,0.586,0.586
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_090,0.574,0.574,0.574
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_030,0.63,0.63,0.63
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_050,0.626,0.626,0.626
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_070,0.59,0.59,0.59
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_100,0.52,0.52,0.52
Llama-3.2-1B→Llama-3.1-8B,mmlu,T_150,0.434,0.434,0.434
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_060,0.25,0.25,0.25
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_070,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_080,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_030,0.295,0.295,0.295
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_050,0.245,0.245,0.245
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_070,0.245,0.245,0.245
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_100,0.245,0.245,0.245
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_150,0.25,0.25,0.25
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,A,0.048,0.048,0.048
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,B,0.048,0.048,0.048
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_060,0.054,0.054,0.054
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_070,0.056,0.056,0.056
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_080,0.044,0.044,0.044
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_090,0.054,0.054,0.054
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_030,0.046,0.046,0.046
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_050,0.05,0.05,0.05
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_070,0.052,0.052,0.052
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_100,0.036,0.036,0.036
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_150,0.022,0.022,0.022
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,0.658,0.658,0.658
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,B,0.658,0.658,0.658
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_060,0.7,0.7,0.7
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_070,0.682,0.682,0.682
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_080,0.678,0.678,0.678
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_090,0.688,0.688,0.688
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_030,0.712,0.712,0.712
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_050,0.692,0.692,0.692
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_070,0.68,0.68,0.68
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_100,0.632,0.632,0.632
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_150,0.502,0.502,0.502
