model_pair,benchmark,construct,condition,run,accuracy,mean_accept_rate,acc_A,delta_acc,rejection_rate,accuracy_gap,rejection_rate_c,accuracy_gap_c,interaction,gap_quartile
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_060,0,0.06,0.2207351704479873,0.145,-0.08499999999999999,0.7792648295520127,0.09999999999999999,0.1195501742204691,-0.009000000000000008,-0.001075951567984223,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_070,0,0.06,0.2178332098106531,0.145,-0.08499999999999999,0.7821667901893469,0.09999999999999999,0.12245213485780326,-0.009000000000000008,-0.0011020692137202303,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_080,0,0.06,0.2159300543723414,0.145,-0.08499999999999999,0.7840699456276586,0.09999999999999999,0.12435529029611503,-0.009000000000000008,-0.0011191976126650363,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,gsm8k,math_reasoning,C_090,0,0.175,0.2121482638304128,0.145,0.03,0.7878517361695871,0.09999999999999999,0.12813708083804354,-0.009000000000000008,-0.001153233727542393,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_060,0,0.112,0.596,0.104,0.008000000000000007,0.404,0.011999999999999997,-0.2557146553315436,-0.097,0.02480432156715973,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_070,0,0.126,0.506,0.104,0.022000000000000006,0.494,0.011999999999999997,-0.16571465533154361,-0.097,0.01607432156715973,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_080,0,0.114,0.402,0.104,0.010000000000000009,0.598,0.011999999999999997,-0.06171465533154363,-0.097,0.0059863215671597325,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,hellaswag,commonsense_reasoning,C_090,0,0.126,0.342,0.104,0.022000000000000006,0.6579999999999999,0.011999999999999997,-0.0017146553315436908,-0.097,0.00016632156715973802,"Small gap
(similar models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_060,0,0.56,0.606,0.558,0.0020000000000000018,0.394,0.22600000000000003,-0.2657146553315436,0.11700000000000003,-0.03108861467379061,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_070,0,0.57,0.55,0.558,0.0119999999999999,0.44999999999999996,0.22600000000000003,-0.20971465533154365,0.11700000000000003,-0.024536614673790615,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_080,0,0.586,0.49,0.558,0.027999999999999914,0.51,0.22600000000000003,-0.1497146553315436,0.11700000000000003,-0.017516614673790606,"Large gap
(very different models)"
Llama-3.2-1B→Llama-3.1-8B,mmlu,knowledge_reasoning,C_090,0,0.574,0.458,0.558,0.015999999999999903,0.542,0.22600000000000003,-0.11771465533154357,0.11700000000000003,-0.013772614673790602,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_060,0,0.25,0.12415586214539007,0.295,-0.044999999999999984,0.8758441378546099,0.19999999999999998,0.2161294825230663,0.09099999999999998,0.01966778290959903,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_070,0,0.295,0.12355039339539006,0.295,0.0,0.8764496066046099,0.19999999999999998,0.2167349512730663,0.09099999999999998,0.01972288056584903,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_080,0,0.295,0.12355039339539006,0.295,0.0,0.8764496066046099,0.19999999999999998,0.2167349512730663,0.09099999999999998,0.01972288056584903,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,math_reasoning,C_090,0,0.295,0.12294492464539006,0.295,0.0,0.8770550753546099,0.19999999999999998,0.2173404200230663,0.09099999999999998,0.019777978222099032,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_060,0,0.054,0.214,0.048,0.005999999999999998,0.786,-0.106,0.12628534466845642,-0.215,-0.02715134910371813,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_070,0,0.056,0.184,0.048,0.008,0.8160000000000001,-0.106,0.15628534466845645,-0.215,-0.033601349103718134,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_080,0,0.044,0.162,0.048,-0.0040000000000000036,0.838,-0.106,0.17828534466845636,-0.215,-0.03833134910371812,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,commonsense_reasoning,C_090,0,0.054,0.14,0.048,0.005999999999999998,0.86,-0.106,0.20028534466845638,-0.215,-0.04306134910371812,"Small gap
(similar models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_060,0,0.7,0.586,0.658,0.041999999999999926,0.41400000000000003,0.22200000000000003,-0.24571465533154357,0.11300000000000003,-0.02776575605246443,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_070,0,0.682,0.552,0.658,0.02400000000000002,0.44799999999999995,0.22200000000000003,-0.21171465533154366,0.11300000000000003,-0.02392375605246444,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_080,0,0.678,0.526,0.658,0.020000000000000018,0.474,0.22200000000000003,-0.18571465533154363,0.11300000000000003,-0.020985756052464437,"Large gap
(very different models)"
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,knowledge_reasoning,C_090,0,0.688,0.492,0.658,0.029999999999999916,0.508,0.22200000000000003,-0.1517146553315436,0.11300000000000003,-0.01714375605246443,"Large gap
(very different models)"
