model_pair,benchmark,condition,cond_type,run,item_id,correct,token_ids,n_tokens,accept_rate,construct,analysis_source,temperature,source_item_id
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,spec,0,gsm8k_proj_0,0,10884 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 198 70869 25 10884 1396 315 30090 26446 284 220 17 9 1187 284 220 2166 198 66091 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 7749 1396 315 30090 20016 2439 284 220 17 14 18 353 220 2166 284 220 843 198 66091 706 220 17 9 1187 26446 323 220 843 20016 2439 627 6153 7231 43582 220 21 30090 20016 2439 11 24150 706 9861 512 7749 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 128001,115,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,0,gsm8k_proj_0,0,10884 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 198 70869 25 10884 1396 315 30090 26446 284 220 17 9 1187 284 220 2166 198 66091 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 7749 1396 315 30090 20016 2439 284 220 17 14 18 353 220 2166 284 220 843 198 66091 706 220 17 9 1187 26446 323 220 843 20016 2439 627 6153 7231 43582 220 21 30090 20016 2439 11 24150 706 9861 512 7749 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 128001,115,0.034782608695652174,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,spec,0,gsm8k_proj_0,0,578 1396 315 30090 8839 24150 706 9861 374 59060 17 865 17 12 220 21 284 220 4370 128001 64 25 6914 1396 315 82036 20016 284 220 1187 14 1187 284 220 2166 198 7749 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 7749 1396 315 30090 20016 2439 284 220 17 9 18 353 220 2166 284 220 843 198 66091 21258 47880 843 21030 1187 489 323 220 843 30090 2439 304 66091 7231 220 220 21 30090 20016 2439 11 24150 706 220 198 4194 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 128001,115,0.034782608695652174,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,spec,0,gsm8k_proj_0,0,578 1396 315 20016 8839 24150 706 2163 374 59060 1187 26446 1187 14 220 21 198 220 21478 198 3915 25 24150 1396 315 82036 26446 284 220 17 9 1187 284 220 2166 198 2903 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 2903 1396 315 30090 20016 2439 284 220 2166 14 18 353 220 1187 284 220 843 198 66091 6835 1403 1419 21030 1187 26446 323 220 843 20016 2439 627 66091 24150 220 220 21 20016 20016 2439 11 24150 706 220 82036 1419 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 198,115,0.034782608695652174,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,spec,0,gsm8k_proj_0,0,578 1396 315 20016 8839 24150 706 2163 374 59060 1187 26446 1187 14 220 21 198 220 21478 198 3915 25 24150 1396 315 82036 26446 284 220 17 9 1187 284 220 2166 198 2903 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 2903 1396 315 30090 20016 2439 284 220 2166 14 18 353 220 1187 284 220 843 198 66091 6835 1403 1419 21030 1187 26446 323 220 843 20016 2439 627 66091 24150 220 220 21 20016 20016 2439 11 24150 706 220 82036 1419 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 198,115,0.034782608695652174,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,spec,0,gsm8k_proj_0,0,578 1396 315 82036 8839 24150 706 2163 284 220 4194 25800 717 25173 220 21 284 220 21478 198 66091 25 5810 1396 315 82036 26446 284 220 1187 9 1187 284 220 2166 198 7749 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 7749 1396 315 30090 20016 2439 284 220 17 14 18 9 220 2166 284 220 843 198 66091 6835 220 843 26446 1187 30090 323 21258 21 20016 2439 627 66091 24150 43582 220 21 30090 20016 2439 11 24150 706 9861 284 7749 1396 315 30090 8839 24150 706 9861 284 220 17 9 1187 482 220 21 284 220 2614 128001,115,0.034782608695652174,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,temp,0,gsm8k_proj_0,0,4194 1396 315 82036 8839 24150 706 9861 284 220 17 26446 17 482 220 21 284 220 21478 198 70869 25 24150 1396 315 82036 26446 24150 220 1187 9 1187 284 220 2166 198 7749 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 627 7749 1396 315 30090 20016 2439 284 220 17 14 18 9 220 2166 284 220 843 198 66091 21258 220 17 9 1187 489 323 220 843 20016 2439 627 66091 7231 220 220 21 30090 20016 2439 11 24150 706 220 220 1419 1396 315 82036 8839 24150 706 9861 284 220 1419 9 1187 482 220 21 284 220 2614 128001,115,1.0,math_reasoning,projected_gsm8k_200,0.3,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,temp,0,gsm8k_proj_0,0,4194 1396 315 82036 8839 24150 706 9861 284 220 17 26446 17 489 220 21 284 220 22303 198 10267 25 24150 1396 315 82036 26446 24150 220 1187 9 1187 284 220 2166 198 7749 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 198 7749 1396 315 30090 20016 2439 284 220 17 14 18 9 220 2166 284 220 843 198 55915 47880 220 17 9 1187 30090 323 220 843 20016 2439 627 66091 7231 220 220 21 30090 20016 2439 11 24150 706 220 220 1419 1396 315 82036 8839 24150 706 9861 284 220 17 9 1187 482 220 21 284 220 2614 128001,115,1.0,math_reasoning,projected_gsm8k_200,0.5,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,temp,0,gsm8k_proj_0,0,4194 1396 315 82036 8839 284 706 520 284 220 17 26446 17 489 220 21 284 220 22895 198 7749 25 24150 1396 315 82036 26446 24150 220 1187 9 1187 284 220 2166 198 7749 706 220 17 14 18 439 1690 30090 20016 2439 439 30090 26446 198 4516 1396 315 30090 20016 2439 284 220 17 14 18 9 220 2166 284 220 843 198 7749 47880 220 21 9 1187 30090 323 220 843 20016 2439 627 36294 7231 220 220 21 30090 20016 2439 11 24150 706 220 284 1419 1396 315 82036 8839 24150 706 9861 284 220 17 9 1187 482 220 21 284 220 2614 198,115,1.0,math_reasoning,projected_gsm8k_200,0.7,gsm8k_7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,temp,0,gsm8k_proj_0,0,4194 1396 284 82036 8839 284 706 284 284 220 717 30090 17 489 220 21 284 220 22895 198 1419 25 24150 1396 315 82036 26446 24150 220 1187 9 1419 284 220 2166 198 7749 706 1403 17 14 18 439 1690 30090 20016 2439 439 30090 26446 198 2903 1396 315 30090 20016 2439 284 220 17 14 18 9 220 2166 284 220 843 198 7749 47880 220 843 9 1187 30090 323 220 843 30090 2439 627 6153 7231 220 220 21 30090 20016 2439 11 24150 706 220 284 1419 1396 315 82036 8839 24150 706 9861 284 220 17 9 1187 482 220 21 284 220 22048 198,115,1.0,math_reasoning,projected_gsm8k_200,1.0,gsm8k_7
