model_pair,benchmark,condition,pilot_mean,projected_ci_lo,projected_ci_hi
Llama-3.2-1B→Llama-3.1-8B,gsm8k,A,0.15,0.10350340733535401,0.19649659266464597
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,0.15,0.10350340733535401,0.19649659266464597
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,0.05,0.02222667227611753,0.07777332772388247
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,0.05,0.02222667227611753,0.07777332772388247
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,0.05,0.02222667227611753,0.07777332772388247
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,0.15,0.10350340733535401,0.19649659266464597
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_030,0.05,0.02222667227611753,0.07777332772388247
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_050,0.1,0.02980963727386894,0.17019036272613108
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_070,0.1,0.02980963727386894,0.17019036272613108
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_100,0.1,0.02980963727386894,0.17019036272613108
Llama-3.2-1B→Llama-3.1-8B,gsm8k,T_150,0.05,0.02222667227611753,0.07777332772388247
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,A,0.3,0.2315100155908281,0.3684899844091719
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,0.3,0.2315100155908281,0.3684899844091719
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_060,0.25,0.1517024516781723,0.3482975483218277
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_070,0.3,0.2315100155908281,0.3684899844091719
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_080,0.3,0.2315100155908281,0.3684899844091719
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,0.3,0.2315100155908281,0.3684899844091719
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_030,0.3,0.2315100155908281,0.3684899844091719
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_050,0.25,0.1517024516781723,0.3482975483218277
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_070,0.25,0.1517024516781723,0.3482975483218277
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_100,0.25,0.1517024516781723,0.3482975483218277
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_150,0.25,0.1517024516781723,0.3482975483218277
