benchmark,condition,predictor,point_biserial_r,p,n
gsm8k,C_060,accept_rate,-0.0056879761896199525,0.909709927441252,400
gsm8k,C_060,mean_js_div_topk,0.03317603970854337,0.5082106489301456,400
gsm8k,C_060,mean_target_entropy_topk,0.21959525045435194,9.319940511399537e-06,400
gsm8k,C_060,mean_exact_reject_prob,0.048072290228322864,0.33756303203064536,400
gsm8k,C_060,mean_target_prob_draft_token,-0.024095434682437727,0.6308929997933667,400
gsm8k,C_070,accept_rate,0.04238526320313783,0.39786948717642245,400
gsm8k,C_070,mean_js_div_topk,0.016624625681917013,0.7402858072176616,400
gsm8k,C_070,mean_target_entropy_topk,0.3320599724367193,9.443605504965839e-12,400
gsm8k,C_070,mean_exact_reject_prob,0.039258816173140074,0.43361476920091807,400
gsm8k,C_070,mean_target_prob_draft_token,-0.053294435840928606,0.28764192348466083,400
gsm8k,C_080,accept_rate,0.027959001962761024,0.5771591599803714,400
gsm8k,C_080,mean_js_div_topk,0.016624625681917013,0.7402858072176616,400
gsm8k,C_080,mean_target_entropy_topk,0.3320599724367193,9.443605504965839e-12,400
gsm8k,C_080,mean_exact_reject_prob,0.039258816173140074,0.43361476920091807,400
gsm8k,C_080,mean_target_prob_draft_token,-0.053294435840928606,0.28764192348466083,400
gsm8k,C_090,accept_rate,-0.07261697178556115,0.14713972875348877,400
gsm8k,C_090,mean_js_div_topk,0.054627208004602246,0.27573999401532195,400
gsm8k,C_090,mean_target_entropy_topk,0.28456251022661816,6.887378332305933e-09,400
gsm8k,C_090,mean_exact_reject_prob,0.053922149243405944,0.28199396306615776,400
gsm8k,C_090,mean_target_prob_draft_token,-0.07205078879743045,0.15032736895896856,400
gsm8k,T_030,mean_js_div_topk,0.016624625681917013,0.7402858072176616,400
gsm8k,T_030,mean_target_entropy_topk,0.3320599724367193,9.443605504965839e-12,400
gsm8k,T_030,mean_exact_reject_prob,0.039258816173140074,0.43361476920091807,400
gsm8k,T_030,mean_target_prob_draft_token,-0.053294435840928606,0.28764192348466083,400
gsm8k,T_050,mean_js_div_topk,0.07165002364778843,0.15261521506237583,400
gsm8k,T_050,mean_target_entropy_topk,0.19654485206210803,7.581432317593556e-05,400
gsm8k,T_050,mean_exact_reject_prob,0.07244286482118631,0.14811442991102863,400
gsm8k,T_050,mean_target_prob_draft_token,-0.1095895212627664,0.0284130418587646,400
gsm8k,T_070,mean_js_div_topk,0.07165002364778843,0.15261521506237583,400
gsm8k,T_070,mean_target_entropy_topk,0.19654485206210803,7.581432317593556e-05,400
gsm8k,T_070,mean_exact_reject_prob,0.07244286482118631,0.14811442991102863,400
gsm8k,T_070,mean_target_prob_draft_token,-0.1095895212627664,0.0284130418587646,400
gsm8k,T_100,mean_js_div_topk,0.07165002364778843,0.15261521506237583,400
gsm8k,T_100,mean_target_entropy_topk,0.19654485206210803,7.581432317593556e-05,400
