model_pair,benchmark,condition,cond_type,item_id,source_item_id,baseline_correct,condition_correct,score_flip,token_changed,token_change_no_score_flip,accept_rate,temperature,construct,mechanism_item_id,n_diag_steps,mean_target_entropy_topk,mean_draft_entropy_topk,mean_js_div_topk,mean_target_prob_draft_token,mean_exact_accept_prob,mean_exact_reject_prob
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_0,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning,gsm8k_7,115,0.5217504600443255,0.6294506422507523,0.6547377507650886,0.02740415899443972,0.036745923930483294,0.9632540760695166
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_1,gsm8k_8,0,0,0,0,0,0.07407407407407407,0.7,math_reasoning,gsm8k_8,54,0.35762749137620675,0.8045525483576557,0.6572871305565597,0.04864066629399794,0.06837748357086941,0.9316225164291305
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_2,gsm8k_14,0,0,0,0,0,1.0,0.7,math_reasoning,gsm8k_14,1,2.197722014041429,1.8937372393750864,0.08137549459564562,0.0011801335016413965,1.0,0.0
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_3,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning,gsm8k_16,128,0.8401587845232971,0.7666186408916258,0.6629002009197186,0.02681674829880674,0.03562024299736437,0.9643797570026356
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_4,gsm8k_11,1,1,0,0,0,0.025974025974025976,0.7,math_reasoning,gsm8k_11,77,1.0606172119757,0.6858548249030249,0.6536327339086062,0.02520337789357835,0.03863941122650523,0.9613605887734947
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_5,gsm8k_7,0,0,0,0,0,0.034782608695652174,0.7,math_reasoning,gsm8k_7,115,0.5217504600443255,0.6294506422507523,0.6547377507650886,0.02740415899443972,0.036745923930483294,0.9632540760695166
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_6,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning,gsm8k_16,128,0.8401587845232971,0.7666186408916258,0.6629002009197186,0.02681674829880674,0.03562024299736437,0.9643797570026356
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_7,gsm8k_16,0,0,0,0,0,0.023529411764705882,0.7,math_reasoning,gsm8k_16,128,0.8401587845232971,0.7666186408916258,0.6629002009197186,0.02681674829880674,0.03562024299736437,0.9643797570026356
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_8,gsm8k_13,0,0,0,0,0,0.045454545454545456,0.7,math_reasoning,gsm8k_13,88,0.6995895744380998,0.909524032507158,0.6487008082708633,0.029309834577392047,0.053631596523319065,0.9463684034766809
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_9,gsm8k_3,0,0,0,0,0,0.2727272727272727,0.7,math_reasoning,gsm8k_3,11,0.339679408083119,0.7984967762285002,0.5079073735162359,0.1357910137066769,0.23556790659633584,0.7644320934036642
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_10,gsm8k_6,0,0,0,0,0,0.0,0.7,math_reasoning,gsm8k_6,3,2.0072375651116166,1.2173242696632742,0.4424256709236185,0.0006083442139746348,0.06679464486199178,0.9332053551380083
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,gsm8k_proj_11,gsm8k_18,0,0,0,0,0,0.02,0.7,math_reasoning,gsm8k_18,128,0.777191887129791,0.6282746028491564,0.6760837267983202,0.00934753844840892,0.01733532306566516,0.9826646769343348
