model_pair,benchmark,condition,cond_type,temperature,run,accuracy,mean_accept_rate,n_items,baseline_accuracy,accuracy_delta_vs_A,score_flip_rate,n_flips,token_change_rate,token_change_no_score_flip_rate,alpha_threshold
Llama-3.2-1B→Llama-3.1-8B,gsm8k,B,spec,0.7,0,0.145,0.0721428651623724,200,0.145,0.0,0.0,0.0,0.0,0.0,1.0
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_060,spec,0.7,0,0.06,0.2207351704479873,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,0.6
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_070,spec,0.7,0,0.06,0.2178332098106531,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,0.7
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_080,spec,0.7,0,0.06,0.2159300543723414,200,0.145,-0.08499999999999999,0.085,17.0,1.0,0.915,0.8
Llama-3.2-1B→Llama-3.1-8B,gsm8k,C_090,spec,0.7,0,0.175,0.2121482638304128,200,0.145,0.03,0.2,40.0,1.0,0.8,0.9
Llama-3.2-1B→Llama-3.1-8B,hellaswag,B,spec,0.7,0,0.104,0.644,500,0.104,0.0,0.0,0.0,0.0,0.0,1.0
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_060,spec,0.7,0,0.112,0.596,500,0.104,0.008000000000000007,0.072,36.0,0.444,0.372,0.6
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_070,spec,0.7,0,0.126,0.506,500,0.104,0.022000000000000006,0.078,39.0,0.486,0.408,0.7
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_080,spec,0.7,0,0.114,0.402,500,0.104,0.010000000000000009,0.094,47.0,0.56,0.466,0.8
Llama-3.2-1B→Llama-3.1-8B,hellaswag,C_090,spec,0.7,0,0.126,0.342,500,0.104,0.022000000000000006,0.098,49.0,0.564,0.466,0.9
Llama-3.2-1B→Llama-3.1-8B,mmlu,B,spec,0.7,0,0.558,0.638,500,0.558,0.0,0.0,0.0,0.0,0.0,1.0
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_060,spec,0.7,0,0.56,0.606,500,0.558,0.0020000000000000018,0.13,65.0,0.182,0.052,0.6
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_070,spec,0.7,0,0.57,0.55,500,0.558,0.0119999999999999,0.132,66.0,0.196,0.064,0.7
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_080,spec,0.7,0,0.586,0.49,500,0.558,0.027999999999999914,0.164,82.0,0.226,0.062,0.8
Llama-3.2-1B→Llama-3.1-8B,mmlu,C_090,spec,0.7,0,0.574,0.458,500,0.558,0.015999999999999903,0.152,76.0,0.234,0.082,0.9
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,B,spec,0.7,0,0.295,0.030121429275019703,200,0.295,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_060,spec,0.7,0,0.25,0.12415586214539007,200,0.295,-0.044999999999999984,0.045,9.0,1.0,0.955,0.6
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_070,spec,0.7,0,0.295,0.12355039339539006,200,0.295,0.0,0.0,0.0,1.0,1.0,0.7
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_080,spec,0.7,0,0.295,0.12355039339539006,200,0.295,0.0,0.0,0.0,1.0,1.0,0.8
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,spec,0.7,0,0.295,0.12294492464539006,200,0.295,0.0,0.0,0.0,1.0,1.0,0.9
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,B,spec,0.7,0,0.048,0.344,500,0.048,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_060,spec,0.7,0,0.054,0.214,500,0.048,0.005999999999999998,0.062,31.0,0.744,0.682,0.6
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_070,spec,0.7,0,0.056,0.184,500,0.048,0.008,0.072,36.0,0.778,0.706,0.7
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_080,spec,0.7,0,0.044,0.162,500,0.048,-0.0040000000000000036,0.064,32.0,0.782,0.718,0.8
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_090,spec,0.7,0,0.054,0.14,500,0.048,0.005999999999999998,0.062,31.0,0.794,0.732,0.9
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,B,spec,0.7,0,0.658,0.632,500,0.658,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_060,spec,0.7,0,0.7,0.586,500,0.658,0.041999999999999926,0.122,61.0,0.164,0.042,0.6
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_070,spec,0.7,0,0.682,0.552,500,0.658,0.02400000000000002,0.148,74.0,0.192,0.044,0.7
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_080,spec,0.7,0,0.678,0.526,500,0.658,0.020000000000000018,0.132,66.0,0.182,0.05,0.8
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_090,spec,0.7,0,0.688,0.492,500,0.658,0.029999999999999916,0.142,71.0,0.2,0.058,0.9
